lat,lon,bearing,image_path,way_id,node_id,offset_id
-38.172107,145.106916,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.172107\145.106916\149\gsv_0.jpg,841124847,1323522496,10
-38.172184,145.106976,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.172184\145.106976\149\gsv_0.jpg,841124847,1323522496,20
-38.172572,145.107276,329,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.172572\145.107276\329\gsv_0.jpg,841124847,7738769251,-20
-38.172648,145.107336,329,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.172648\145.107336\329\gsv_0.jpg,841124847,7738769251,-10
-38.172725,145.107396,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.172725\145.107396\149\gsv_0.jpg,841124847,7738769251,0
-38.172802,145.107455,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.172802\145.107455\149\gsv_0.jpg,841124847,7738769251,10
-38.172879,145.107515,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.172879\145.107515\149\gsv_0.jpg,841124847,7738769251,20
-38.172899,145.107530,329,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.172899\145.107530\329\gsv_0.jpg,841124847,7738769243,-20
-38.172976,145.107590,329,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.172976\145.107590\329\gsv_0.jpg,841124847,7738769243,-10
-38.173053,145.107650,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.173053\145.107650\149\gsv_0.jpg,841124847,7738769243,0
-38.173104,145.107689,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.173104\145.107689\149\gsv_0.jpg,841124847,7738769243,10
-38.173104,145.107689,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.173104\145.107689\149\gsv_0.jpg,841124847,7738769243,20
-38.173160,145.107733,329,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.173160\145.107733\329\gsv_0.jpg,841124847,1323522473,-20
-38.173237,145.107792,329,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.173237\145.107792\329\gsv_0.jpg,841124847,1323522473,-10
-38.173314,145.107852,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.173314\145.107852\149\gsv_0.jpg,841124847,1323522473,0
-38.161707,145.103405,293,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161707\145.103405\293\gsv_0.jpg,30735301,768939438,0
-38.161672,145.103299,293,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161672\145.103299\293\gsv_0.jpg,30735301,768939438,10
-38.161668,145.103287,293,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161668\145.103287\293\gsv_0.jpg,30735301,768939438,20
-38.161707,145.103405,113,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161707\145.103405\113\gsv_0.jpg,30735301,638345374,-20
-38.161703,145.103392,113,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161703\145.103392\113\gsv_0.jpg,30735301,638345374,-10
-38.161668,145.103287,294,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161668\145.103287\294\gsv_0.jpg,30735301,638345374,0
